str,en_US,zh_TW,zn_CN,vi_VN,ja_JP,id_ID
title,TT Application,TT 應用程式,TT 应用程式,Ứng dụng TT,TTアプリケーション,Aplikasi TT
app_center,Applications,應用中心,应用中心,Ứng dụng,アプリケーション,Pusat Aplikasi
sort,Sort,排序,排序,Sắp xếp,分類する,Urutan
video,Video,視頻,視頻,Video,ビデオ,Video
popularity,Popularity,人氣,人氣,Sự phổ biến,人気,Popularitas
recommended,Recommended,熱門推薦,熱門推薦,Đề xuất phổ biến,おすすめです。,Rekomendasi Populer
everbody_playing,Playing,大家都在玩,大家都在玩,Mọi người đều đang chơi,遊んでいる,Semua orang sedang bermain
filter,Filter,篩選,篩選,Lọc,フィルター,Filter
long_video,Videos,長視頻,長視頻,Video dài,ビデオ,Video Panjang
short_video,Reels,短視頻,短視頻,Video ngắn,リールズ,Video pendek
member_login,Login,會員登入,會員登入,Đăng nhập thành viên,ログイン,Login Anggota
account_password_login,Login,帳號密碼登入,帳號密碼登入,Đăng nhập tài khoản và mật khẩu,ログイン,Login dengan akun dan kata sandi
account,Account,帳號,帳號,Tài khoản,アカウント,Akun
please_enter_your_account_number,Please enter your account number,請輸入帳號,請輸入帳號,Vui lòng nhập tài khoản,アカウント番号を入力してください。,Silakan masukkan akun
password,Password,密碼,密碼,Mật khẩu,パスワード,Kata sandi
please_enter_your_password,Please enter your password,請輸入密碼,請輸入密碼,Vui lòng nhập mật khẩu,パスワードを入力してください。,Silakan masukkan kata sandi
no_account_yet,No account yet.,還沒有帳號,還沒有帳號,Chưa có tài khoản,まだアカウントがありません。,Belum memiliki akun
login_with_phone_number,Login with phone number,手機號登入,手機號登入,Đăng nhập bằng số điện thoại di động,電話番号でログイン,Masuk dengan nomor ponsel
newest,Newest,最新,最新,Mới nhất,最新の,Terbaru
hottest,Hottest,最熱,最熱,Rất nóng,最も暑い,Terpopuler
register,Register,會員註冊,會員註冊,Đăng ký thành viên,登録する,Pendaftaran anggota
account_password_registration,Account Password Registration,帳號密碼註冊,帳號密碼註冊,Đăng ký tài khoản và mật khẩu,アカウントパスワード登録,Pendaftaran akun dan kata sandi
verify_password,Verify Password,驗證密碼,驗證密碼,Xác minh mật khẩu,パスワードを確認してください。,Verifikasi kata sandi
please_enter_the_verification_password,Please enter the verification password,請輸入驗證密碼,請輸入驗證密碼,Vui lòng nhập mật khẩu xác nhận,認証パスワードを入力してください。,Silakan masukkan kata sandi verifikasi
search_for,Search,搜索,搜索,Tìm kiếm,検索,Cari
